Latitude,Longitude,Neighborhood,Full Address,ZIP Code
40.74430135,-73.97810003,Kips Bay,"209 E 32nd St, New York, NY 10016, USA",10016
40.77640016,-73.98269687,Lincoln Square,"199 Amsterdam Ave, New York, NY 10023, USA",10023
40.82924521,-73.94581844,Hamilton Heights,"508 W 151st St, New York, NY 10031, USA",10031
40.75900001,-73.98999807,Midtown South,"324 W 44th St, New York, NY 10036, USA",10036
40.8019008,-73.95310131,Central Harlem,"1883 Adam Clayton Powell Jr Blvd, New York, NY 10026, USA",10026
40.76473761,-73.98803111,Hell's Kitchen,"782 9th Ave, New York, NY 10019, USA",10019
40.79505338,-73.93315608,East Harlem,"508 E 116th St, New York, NY 10029, USA",10029
40.74020012,-73.99960142,Chelsea,"212 W 16th St, New York, NY 10011, USA",10011
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.82460081,-73.95069718,Hamilton Heights,"530 W 143rd St, New York, NY 10031, USA",10031
40.79179898,-73.94470003,East Harlem,"1924 3rd Ave, New York, NY 10029, USA",10029
40.83717838,-73.94260358,Washington Heights,"3882 Broadway, New York, NY 10032, USA",10032
40.73805897,-73.99257982,Midtown Manhattan,"114 5th Ave, New York, NY 10011, USA",10011
40.81829999,-73.9425967,Strivers' Row,"213 W 139th St, New York, NY 10030, USA",10030
40.65487066,-73.9618985,Little Haiti,"Ocean Av/Parkside Av, Brooklyn, NY, USA",11225
40.83403685,-73.94493953,Washington Heights,"157 St, New York, NY 10032, USA",10032
40.8019008,-73.95310131,Central Harlem,"1883 Adam Clayton Powell Jr Blvd, New York, NY 10026, USA",10026
40.84959896,-73.93560261,Washington Heights,"140 Wadsworth Ave, New York, NY 10033, USA",10033
40.8082188,-73.95448787,Central Harlem,"508 Manhattan Ave, New York, NY 10027, USA",10027
40.72620161,-73.97960233,Alphabet City,"605 E 9th St, New York, NY 10009, USA",10009
40.72620161,-73.97960233,Alphabet City,"605 E 9th St, New York, NY 10009, USA",10009
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.73381393,-73.98071157,Midtown Manhattan,"468 E 18th St, New York, NY 10003, USA",10003
40.73316821,-73.98118025,Stuyvesant Town-Peter Cooper Village,"1 Av & E 17 St, New York, NY 10009, USA",10009
40.70518151,-74.00739479,Financial District,"100 Wall St, New York, NY 10005, USA",10005
40.82532159,-73.94573193,Sugar Hill,"450 W 146th St, New York, NY 10031, USA",10031
40.8233403,-73.94706348,Hamilton Heights,"317 Convent Ave, New York, NY 10031, USA",10031
40.78160147,-73.95109997,Yorkville,"Ruppert Yorkville Towers Condominium, 1619 3rd Ave, New York, NY 10128, USA",10128
40.75717628,-73.96621574,Midtown East,"300 E 54th St # 20F, New York, NY 10022, USA",10022
